ABS 		data_type       	#ABS (absolute), REL (tangential), DIF (differential coorinates) or CPV (camera pointing vector)
9		moon_entry         	#Target body
0		time_entry             	#First time entry (python, so starting at 0)
3		amount_time_entries  	#Amount of time entries
DATE		time_type          	#JD, MJD, J2000, DATE, MINsinceJDaddingtheJD 
utc		time_scale		#time scale,lower case, gmt=ut1
0		time_delta         	#hours away from standard time scale (i.e. utc-3 is -3)
3		RA_entry           	#First RA or X entry
6		DEC_entry             	#First DEC or Y entry
1		number_observatories  	#Amount of observatories, needs extra definition which one if 1
286		observatory       	#Ignored if more than 1 observatory
10		observatory_entrace	#Ignored if 1 observatory
0		relative_body_entry  	#Ignored if ABS, can either be a name or entry position
0		process_relative       	#Switch for processing relative observations or not
J2000   	Epoch of equinox        #J2000, B1950
Jupiter       central_body            #name or number
2017 05        2.661528    12 59  2.4644     -4 29 45.910  6
2018 04       19.654433    15 16 21.4170     -17 18 43.236 6
2018 04       19.707824    15 16 19.9049     -17 18 36.638 6
2018 04       19.709271    15 16 19.8626     -17 18 36.427 6
2018 04       19.710718    15 16 19.8241     -17 18 36.268 6
2018 04       19.712164    15 16 19.7801     -17 18 36.140 6
2018 04       19.713611    15 16 19.7377     -17 18 35.925 6
2018 04       19.715058    15 16 19.6992     -17 18 35.738 6
2018 04       19.717951    15 16 19.6131     -17 18 35.432 6
2018 04       19.719433    15 16 19.5732     -17 18 35.213 6
2018 04       19.722546    15 16 19.4839     -17 18 34.830 6
2018 04       19.723993    15 16 19.4422     -17 18 34.611 6
2018 04       19.728333    15 16 19.3211     -17 18 34.091 6
2018 04       20.631296    15 15 54.1231     -17 16 39.608 6
2018 04       20.632743    15 15 54.0790     -17 16 39.417 6
2018 04       20.639988    15 15 53.8729     -17 16 38.482 6
2018 04       20.645775    15 15 53.7040     -17 16 37.749 6
2018 04       20.647222    15 15 53.6634     -17 16 37.621 6
2018 04       20.648669    15 15 53.6240     -17 16 37.431 6
2018 04       20.650116    15 15 53.5812     -17 16 37.187 6
2018 04       20.709780    15 15 51.8601     -17 16 29.641 6
2018 04       20.712674    15 15 51.7752     -17 16 29.311 6
2018 04       20.714120    15 15 51.7320     -17 16 29.111 6
2018 04       20.718472    15 15 51.6076     -17 16 28.558 6
2018 04       20.719919    15 15 51.5644     -17 16 28.372 6
2018 04       20.721366    15 15 51.5231     -17 16 28.212 6
